Name;Phone;Email;Website;Address;
Waldseilgarten Rütihof;https://tel.search.ch/graenichen/ruetihof-1/waldseilgarten-ruetihof;062 842 32 02 *;;;Rütihof 1, 5722 Gränichen/AG
Wilden Mann;https://tel.search.ch/luzern/bahnhofstrasse-30/wilden-mann;041 210 16 66 *;;;Bahnhofstrasse 30, 6003 Luzern
Yourte aux Rochers de Naye;https://tel.search.ch/caux/-/aux-rochers-de-naye-yourte;021 989 81 90;;;1824 Caux/VD
Alex Hotel;https://tel.search.ch/zermatt/bodmenstrasse-12/alex-hotel-2;027 966 70 70 *;;;Bodmenstrasse 12, 3920 Zermatt/VS
Café-Hotel Appenzell;https://tel.search.ch/appenzell/hauptgasse-37/cafe-hotel-appenzell;071 788 15 15 *;;;Hauptgasse 37, 9050 Appenzell/AI
Camping  Hotel Campofelice;https://tel.search.ch/tenero/via-alle-brere-7/camping-hotel-campofelice;091 745 14 17 *;;;via alle Brere 7, 6598 Tenero/TI
Gasthof Kreuz Egerkingen, Mimi + Louis Bischofberger;https://tel.search.ch/egerkingen/oltnerstrasse-11/gasthof-kreuz-2;062 398 03 33 *;;;Oltnerstrasse 11, 4622 Egerkingen/SO
Gurten - Park im Grünen;https://tel.search.ch/wabern/-/gurten-park-im-gruenen;031 970 33 33 *;;;Gurten, 3084 Wabern/BE
Hotel Basel;https://tel.search.ch/basel/muenzgasse-12/hotel-basel-2;061 264 68 00 *;;;Münzgasse 12, 4001 Basel
Hotel Baseltor;https://tel.search.ch/solothurn/hauptgasse-79/hotel-baseltor-2;032 622 34 22 *;;;Hauptgasse 79, 4500 Solothurn
Hotel Krone Unterstrass;https://tel.search.ch/zuerich/schaffhauserstrasse-1/hotel-krone-unterstrass-4;044 360 56 56 *;;;Schaffhauserstrasse 1, 8006 Zürich
Hotel Kurhaus;https://tel.search.ch/lenzerheide-lai/voa-principala-40/kurhaus;081 384 11 34;;;Voa Principala 40, 7078 Lenzerheide/Lai/GR
Landgasthof Lueg;https://tel.search.ch/kaltacker-bei-heimiswil/luegstrasse-535/landgasthof-lueg;034 435 18 81 *;;;Luegstrasse 535, 3413 Kaltacker bei Heimiswil/BE
Landgasthof Sternen;https://tel.search.ch/buehler/dorfstrasse-97/landgasthof-sternen;071 793 17 58 *;;;Dorfstrasse 97, 9055 Bühler/AR
Parkhotel Gunten;https://tel.search.ch/gunten/seestrasse-90/parkhotel-gunten;033 252 88 52 *;;;Seestrasse 90, 3654 Gunten/BE
